plot,plot_section,plot_section_label,interval_order,month_start,month_end,genet,tag,genotype,species,month_start_date,month_end_date,source_files,match_types,actions,split_fuse_events,n_rows,plot_area_m2,taglab_area_units,area_start,area_end,area_start_m2,area_end_m2,present_start,present_end,survived_interval,died_interval,born_interval
Plot C,0-0,Plot C 0-0,1,November,April,0,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,7.7175,0,7.7175e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,1,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,11.3925,0,0.00113925,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,10,NA,NA,Montastraea cavernosa,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,4.6,0,4.5999999999999996e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,100,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,4.8625,0,4.8625e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,101,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,0.73,0,7.3e-5,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,102,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,5.9225,0,5.9225e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,103,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,10.5125,0,0.0010512499999999999,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,104,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,3.335,0,3.335e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,105,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,5.0375,0,5.0375e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,106,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,6.5025,0,6.5025e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,107,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,4.435,0,4.4349999999999994e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,108,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,6.185,0,6.184999999999999e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,109,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,7.61,0,7.610000000000001e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,11,NA,NA,Montastraea cavernosa,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,4.7125,0,4.7125000000000004e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,110,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,1.41,0,1.4099999999999998e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,111,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,1.1675,0,1.1674999999999999e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,112,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,9.4,0,9.400000000000001e-4,FALSE,TRUE,FALSE,FALSE,TRUE
Plot C,0-0,Plot C 0-0,1,November,April,113,NA,NA,Porites porites,2025-11-03,2026-04-03,Plot_C_Coki_PlotC_Survivorship_20251103_0-0-Coki_PlotC_Survivorship_20260403_0-0.csv,0-0,born,none,1,480,cm2,0,2.54,0,2.54e-4,FALSE,TRUE,FALSE,FALSE,TRUE
